Crop,State,I_E,Model,Value
wht,VA,import,gvty,0.024822598
wht,VA,import,shrs,0.026504257
wht,VA,export,gvty,0.012563585
wht,VA,export,shrs,0.034181055
wht,WA,import,gvty,0.012939593
wht,WA,import,shrs,0.013503725
wht,WA,export,gvty,1.001059573
wht,WA,export,shrs,0.583350587
wht,WA,export,port,0.065774254
wht,WV,import,gvty,0.003065469
wht,WV,import,shrs,0.002927241
wht,WV,export,gvty,0.000480259
wht,WV,export,shrs,0.001253794
wht,WI,import,gvty,0.022483123
wht,WI,import,shrs,0.016610299
wht,WI,export,gvty,0.029576972
wht,WI,export,shrs,0.04941777
wht,WY,import,gvty,0.001087467
wht,WY,import,shrs,0.000905203
wht,WY,export,gvty,0.010625396
wht,WY,export,shrs,0.009997424
wht,total,import,gvty,0.730418979
wht,total,import,shrs,0.730419011
wht,total,import,port,0.730419011
wht,total,export,gvty,6.511651099
wht,total,export,shrs,6.511651102
wht,total,export,port,6.511651102
gro,AL,import,gvty,0.008105305
gro,AL,import,shrs,0.011209424
gro,AL,export,gvty,0.048417848
gro,AL,export,shrs,0.036983832
gro,AK,import,gvty,0.00168212
gro,AK,import,shrs,0.002331607
gro,AK,export,gvty,0.000895979
gro,AK,export,shrs,0.000412218
gro,AR,import,gvty,0.008446236
gro,AR,import,shrs,0.013896707
gro,AR,export,gvty,0.133875181
gro,AR,export,shrs,0.101237126
gro,AZ,import,gvty,0.00666843
gro,AZ,import,shrs,0.00860124
gro,AZ,export,gvty,0.020882652
gro,AZ,export,shrs,0.016223678
gro,CA,import,gvty,0.123221889
gro,CA,import,shrs,0.11143196
gro,CA,import,port,0.086883617
gro,CA,export,gvty,0.084679474
gro,CA,export,shrs,0.051509328
gro,CA,export,port,0.351934672
gro,CO,import,gvty,0.012487223
gro,CO,import,shrs,0.017811103
gro,CO,export,gvty,0.187522362
gro,CO,export,shrs,0.147888307
gro,CT,import,gvty,0.008806445
gro,CT,import,shrs,0.005913574
gro,CT,export,gvty,2.01816E-07
gro,CT,export,shrs,4.41025E-07
gro,DE,import,gvty,0.009192799
gro,DE,import,shrs,0.003996328
gro,DE,export,gvty,0.012214502
gro,DE,export,shrs,0.027823103
gro,DC,import,gvty,0.0007482
gro,DC,import,shrs,0.000378916
gro,FL,import,gvty,0.037675597
gro,FL,import,shrs,0.024857893
gro,FL,import,port,0.054302261
gro,FL,export,gvty,0.014963616
gro,FL,export,shrs,0.010115181
gro,GA,import,gvty,0.032064699
gro,GA,import,shrs,0.041856929
gro,GA,import,port,0.010860452
gro,GA,export,gvty,0.053476604
gro,GA,export,shrs,0.05323251
gro,HI,import,gvty,0.000920921
gro,HI,import,shrs,0.001557998
gro,HI,export,gvty,1.51929E-06
gro,HI,export,shrs,6.4279E-07
gro,ID,import,gvty,0.009813993
gro,ID,import,shrs,0.010143698
